Customer: Example
Server: example
Definition oval:com.ubuntu.focal:def:991000000: false
Definition oval:com.ubuntu.focal:def:981000000: false
Definition oval:com.ubuntu.focal:def:971000000: false
Definition oval:com.ubuntu.focal:def:961000000: false
Definition oval:com.ubuntu.focal:def:951000000: false
Definition oval:com.ubuntu.focal:def:941000000: false
Definition oval:com.ubuntu.focal:def:931000000: false
Definition oval:com.ubuntu.focal:def:921000000: false
Definition oval:com.ubuntu.focal:def:911000000: false
Definition oval:com.ubuntu.focal:def:901000000: false
Definition oval:com.ubuntu.focal:def:891000000: false
Definition oval:com.ubuntu.focal:def:871000000: false
Definition oval:com.ubuntu.focal:def:861000000: false
Definition oval:com.ubuntu.focal:def:851000000: false
Definition oval:com.ubuntu.focal:def:841000000: false
Definition oval:com.ubuntu.focal:def:831000000: false
Definition oval:com.ubuntu.focal:def:821000000: false
Definition oval:com.ubuntu.focal:def:811000000: false
Definition oval:com.ubuntu.focal:def:801000000: false
Definition oval:com.ubuntu.focal:def:791000000: false
Definition oval:com.ubuntu.focal:def:781000000: false
Definition oval:com.ubuntu.focal:def:771000000: false
Definition oval:com.ubuntu.focal:def:761000000: false
Definition oval:com.ubuntu.focal:def:741000000: false
Definition oval:com.ubuntu.focal:def:731000000: false
Definition oval:com.ubuntu.focal:def:721000000: false
Definition oval:com.ubuntu.focal:def:70461000000: false
Definition oval:com.ubuntu.focal:def:70431000000: false
Definition oval:com.ubuntu.focal:def:70411000000: true
Definition oval:com.ubuntu.focal:def:70401000000: true
Definition oval:com.ubuntu.focal:def:70381000000: true
Definition oval:com.ubuntu.focal:def:70371000000: true
Definition oval:com.ubuntu.focal:def:70351000000: true
Definition oval:com.ubuntu.focal:def:70341000000: true
Definition oval:com.ubuntu.focal:def:70331000000: true
Definition oval:com.ubuntu.focal:def:70321000000: false
Definition oval:com.ubuntu.focal:def:70312000000: false
Definition oval:com.ubuntu.focal:def:70271000000: false
Definition oval:com.ubuntu.focal:def:70251000000: false
Definition oval:com.ubuntu.focal:def:70241000000: false
Definition oval:com.ubuntu.focal:def:70221000000: true
Definition oval:com.ubuntu.focal:def:70213000000: false
Definition oval:com.ubuntu.focal:def:70212000000: false
Definition oval:com.ubuntu.focal:def:70211000000: false
Definition oval:com.ubuntu.focal:def:70171000000: false
Definition oval:com.ubuntu.focal:def:70152000000: true
Definition oval:com.ubuntu.focal:def:70151000000: true
Definition oval:com.ubuntu.focal:def:70141000000: true
Definition oval:com.ubuntu.focal:def:70131000000: false
Definition oval:com.ubuntu.focal:def:70121000000: true
Definition oval:com.ubuntu.focal:def:70111000000: false
Definition oval:com.ubuntu.focal:def:70101000000: false
Definition oval:com.ubuntu.focal:def:701000000: false
Definition oval:com.ubuntu.focal:def:70092000000: false
Definition oval:com.ubuntu.focal:def:70091000000: false
Definition oval:com.ubuntu.focal:def:70073000000: false
Definition oval:com.ubuntu.focal:def:70072000000: false
Definition oval:com.ubuntu.focal:def:70071000000: false
Definition oval:com.ubuntu.focal:def:70061000000: false
Definition oval:com.ubuntu.focal:def:70034000000: false
Definition oval:com.ubuntu.focal:def:70033000000: false
Definition oval:com.ubuntu.focal:def:70031000000: true
Definition oval:com.ubuntu.focal:def:70021000000: true
Definition oval:com.ubuntu.focal:def:70011000000: false
Definition oval:com.ubuntu.focal:def:70001000000: true
Definition oval:com.ubuntu.focal:def:69981000000: false
Definition oval:com.ubuntu.focal:def:69971000000: true
Definition oval:com.ubuntu.focal:def:69951000000: false
Definition oval:com.ubuntu.focal:def:69931000000: true
Definition oval:com.ubuntu.focal:def:69922000000: false
Definition oval:com.ubuntu.focal:def:69921000000: false
Definition oval:com.ubuntu.focal:def:69911000000: false
Definition oval:com.ubuntu.focal:def:69901000000: false
Definition oval:com.ubuntu.focal:def:69881000000: true
Definition oval:com.ubuntu.focal:def:69871000000: false
Definition oval:com.ubuntu.focal:def:69841000000: false
Definition oval:com.ubuntu.focal:def:69831000000: false
Definition oval:com.ubuntu.focal:def:69742000000: false
Definition oval:com.ubuntu.focal:def:69741000000: false
Definition oval:com.ubuntu.focal:def:69731000000: true
Definition oval:com.ubuntu.focal:def:69691000000: false
Definition oval:com.ubuntu.focal:def:69681000000: false
Definition oval:com.ubuntu.focal:def:69671000000: true
Definition oval:com.ubuntu.focal:def:69662000000: false
Definition oval:com.ubuntu.focal:def:69661000000: false
Definition oval:com.ubuntu.focal:def:69641000000: false
Definition oval:com.ubuntu.focal:def:69631000000: false
Definition oval:com.ubuntu.focal:def:69621000000: false
Definition oval:com.ubuntu.focal:def:69611000000: true
